Einstellung;Wert
Exportzeitpunkt;2025-12-04T14:08:06.364Z
Simulationstyp;Monte-Carlo
Anzahl Simulationen;1000
Volatilität p.a.;15%

=== EINGABEPARAMETER ===;
start_savings;4000
start_etf;100
monthly_savings;100
monthly_etf;150
savings_rate_pa;3
etf_rate_pa;7
etf_ter_pa;0.19
savings_target;5000
annual_raise_percent;3
savings_years;36
withdrawal_years;30
monthly_payout_net;
monthly_payout_percent;4
withdrawal_min;0
withdrawal_max;0
inflation_adjust_withdrawal;true
special_payout_net_savings;15000
special_interval_years_savings;10
inflation_adjust_special_savings;true
special_payout_net_withdrawal;15000
special_interval_years_withdrawal;10
inflation_adjust_special_withdrawal;true
inflation_rate_pa;2
sparerpauschbetrag;1000
kirchensteuer;keine
basiszins;2.53
rent_mode;percent
capital_preservation_enabled;true
capital_preservation_threshold;80
capital_preservation_reduction;25
capital_preservation_recovery;10

=== ZUSAMMENFASSUNG ===;
Erfolgswahrscheinlichkeit;75.4%
Kapitalerhalt-Rate;51.1%
Pleite-Risiko;25.6%

Endvermögen (Median);531587.41
Endvermögen (10%-Perzentil);0.00
Endvermögen (90%-Perzentil);4161947.63
Endvermögen (5%-Perzentil, Worst);0.00
Endvermögen (95%-Perzentil, Best);7558646.39
Endvermögen (Durchschnitt);1722794.37

Endvermögen real (Median);143867.72
Endvermögen real (10%-90%);0.00 - 1126380.89
Vermögen bei Rentenbeginn (Median);448441.08

=== SEQUENCE-OF-RETURNS RISK ===;
SoRR-Spreizung;696.1%
Früher Crash-Effekt;-84.7%
Früher Boom-Effekt;+154.7%
Korrelation frühe Rendite <-> Endvermögen;38.9%
Endvermögen (schlechte Sequenz);243385.58
Endvermögen (gute Sequenz);4048410.28
Kritisches Fenster;Jahr 1-10

=== PERZENTILE PRO MONAT ===;;;;;;;;
Monat;Jahr;P5;P10;P25;P50 (Median);P75;P90;P95
1;1;4353.03;4354.73;4357.39;4360.38;4363.35;4365.67;4367.13
2;1;4602.88;4607.86;4614.61;4622.25;4629.15;4636.21;4640.43
3;1;4851.69;4858.17;4871.31;4884.81;4898.88;4912.16;4918.68
4;1;5097.24;5107.74;5126.52;5147.57;5168.81;5187.45;5203.57
5;1;5341.20;5357.78;5384.52;5410.91;5442.55;5467.97;5482.14
6;1;5589.32;5606.92;5639.48;5679.08;5716.20;5756.28;5780.40
7;1;5827.39;5852.46;5893.82;5943.74;5993.90;6036.19;6066.39
8;1;6064.59;6098.25;6154.03;6211.20;6273.01;6325.51;6351.83
9;1;6299.98;6346.33;6405.79;6480.27;6556.23;6619.85;6651.85
10;1;6544.17;6597.36;6669.12;6749.73;6836.95;6920.56;6968.32
11;1;6801.14;6836.52;6927.54;7029.58;7121.44;7226.35;7284.12
12;1;7040.11;7087.27;7184.91;7300.62;7420.35;7532.44;7597.20
13;2;7280.81;7340.77;7458.39;7585.46;7725.73;7852.77;7941.79
14;2;7527.20;7602.12;7720.85;7874.18;8030.26;8167.48;8269.13
15;2;7750.95;7856.50;8000.66;8156.82;8331.37;8485.92;8612.58
16;2;8032.20;8107.03;8259.15;8446.72;8642.39;8834.56;8949.29
17;2;8244.00;8360.26;8525.91;8740.22;8978.49;9160.40;9305.04
18;2;8458.91;8578.27;8789.05;9043.54;9291.02;9546.77;9693.76
19;2;8683.58;8796.37;9088.17;9318.78;9631.75;9892.64;10043.57
20;2;8918.12;9075.97;9365.10;9617.13;9916.79;10242.82;10442.44
21;2;9147.62;9314.03;9601.32;9948.74;10231.77;10535.41;10771.08
22;2;9413.62;9560.35;9870.33;10231.97;10575.57;10922.47;11111.96
23;2;9597.42;9806.52;10138.96;10523.98;10903.74;11256.26;11510.60
24;2;9822.19;10044.36;10411.53;10824.42;11241.85;11647.01;11914.05
25;3;10071.95;10300.01;10691.76;11095.64;11601.29;12088.92;12371.59
26;3;10335.21;10559.28;10953.51;11408.44;11963.49;12410.43;12747.72
27;3;10592.96;10806.77;11263.67;11706.92;12288.29;12837.78;13149.97
28;3;10809.42;11039.58;11518.67;12032.73;12634.19;13291.85;13633.41
29;3;11025.27;11242.72;11807.70;12379.36;12963.12;13680.18;14076.63
30;3;11274.03;11558.62;12060.64;12670.71;13376.74;14076.15;14469.29
31;3;11478.82;11792.92;12359.02;12998.59;13728.31;14469.61;14964.39
32;3;11736.46;12045.23;12602.55;13336.12;14050.47;14957.25;15414.07
33;3;11955.40;12271.40;12908.99;13624.31;14475.30;15319.91;15764.13
34;3;12179.01;12498.03;13189.41;13986.56;14808.48;15688.80;16173.75
35;3;12396.46;12779.03;13455.30;14301.69;15171.01;16122.31;16622.05
36;3;12635.92;13094.00;13719.85;14593.32;15597.64;16511.83;17068.31
37;4;12898.62;13308.45;14024.96;15003.98;15953.35;16961.35;17510.67
38;4;13128.04;13563.20;14380.98;15351.07;16324.66;17310.71;18028.90
39;4;13376.27;13842.07;14650.46;15622.69;16735.25;17816.93;18479.14
40;4;13624.77;14110.16;14940.04;15910.05;17090.03;18223.96;19054.87
41;4;13835.37;14321.02;15247.83;16260.91;17576.03;18669.79;19446.37
42;4;14098.84;14543.17;15547.42;16663.29;17970.70;19154.17;19986.07
43;4;14372.80;14842.98;15839.97;17053.51;18317.73;19703.54;20495.82
44;4;14687.01;15244.57;16148.60;17339.19;18724.90;20213.13;21164.91
45;4;14839.09;15392.07;16469.83;17722.27;19167.38;20724.27;21900.93
46;4;15137.74;15761.84;16790.77;18137.17;19649.20;21222.37;22291.34
47;4;15446.57;15984.31;17054.83;18428.46;20044.76;21777.77;22998.25
48;4;15638.94;16220.49;17361.01;18802.13;20528.01;22260.88;23636.02
49;5;15824.81;16546.78;17691.82;19158.94;20960.41;22937.97;24135.87
50;5;16037.94;16854.74;18073.83;19617.23;21399.10;23526.02;24627.45
51;5;16347.96;17241.39;18275.67;19955.62;21886.72;23933.88;25298.27
52;5;16613.86;17324.32;18669.28;20348.93;22396.81;24422.45;26022.76
53;5;16765.41;17666.15;18947.63;20782.65;22701.08;25081.35;26692.61
54;5;17135.81;17889.63;19286.01;21155.34;23242.10;25678.50;27189.07
55;5;17287.41;18082.33;19534.25;21536.87;23626.45;26294.70;27662.22
56;5;17514.24;18370.44;19976.28;22054.49;24258.47;26606.94;28192.05
57;5;17830.07;18694.15;20295.37;22364.41;24708.19;27211.86;28788.05
58;5;17937.61;18974.68;20600.40;22816.91;25019.66;27770.82;29476.70
59;5;18248.45;19135.71;20895.15;23248.39;25805.69;28419.07;29746.69
60;5;18448.62;19434.92;21216.23;23652.70;26125.63;28895.24;30549.47
61;6;18807.32;19823.23;21584.80;23926.37;26607.15;29631.77;31375.45
62;6;19036.11;20002.10;21891.14;24270.64;27122.35;30016.45;31453.76
63;6;19355.70;20029.58;22330.12;24654.59;27671.46;30452.95;32283.20
64;6;19660.11;20471.28;22714.17;25041.59;28105.34;31028.83;33039.45
65;6;19901.78;20833.51;22854.97;25435.48;28453.54;31552.07;33307.91
66;6;20180.98;21237.34;23115.48;25783.47;29195.21;32154.68;34343.65
67;6;20499.68;21581.60;23476.35;26555.56;29604.88;32510.70;34486.51
68;6;20656.71;21658.15;23855.08;26851.50;30187.05;33213.16;35421.92
69;6;20908.26;21991.82;24166.37;27261.44;30749.39;33891.15;35979.65
70;6;21158.93;22497.82;24572.45;27509.89;31241.32;34477.77;36944.05
71;6;21493.88;22671.28;24909.14;28103.91;31608.96;34958.60;37716.51
72;6;21887.16;22924.31;25143.30;28616.57;32311.70;35831.96;38496.23
73;7;22311.67;23272.68;25651.82;28895.36;32829.99;37052.28;39473.82
74;7;22283.81;23656.30;25983.83;29460.57;33591.23;37611.80;39981.60
75;7;22820.66;23920.03;26419.32;29988.25;34014.85;37965.21;40852.29
76;7;23087.58;24175.73;26849.95;30543.58;34599.36;38721.74;41648.12
77;7;23318.52;24597.40;27180.35;30972.72;35252.60;39651.91;42345.91
78;7;23813.93;25012.05;27639.74;31457.24;35796.86;39982.58;43246.89
79;7;23918.01;25304.55;27949.21;32215.97;36404.20;41056.34;43407.36
80;7;23956.60;25424.36;28344.78;32510.35;36986.97;41583.65;44817.61
81;7;24247.66;25768.86;28946.85;32940.52;37623.32;42340.13;45109.29
82;7;24529.48;26304.99;29267.23;33523.29;38417.25;43005.66;45958.16
83;7;24904.58;26640.26;29796.68;33984.47;38669.63;43984.88;47381.44
84;7;25368.17;26792.70;30131.93;34353.19;39715.13;44554.75;47974.05
85;8;25612.38;27244.57;30621.30;34696.95;40320.17;45937.86;49152.34
86;8;26118.92;27521.47;30972.59;35274.32;40746.19;46618.05;49845.50
87;8;26394.11;27893.64;31160.35;35741.92;41417.00;47307.37;51008.08
88;8;26754.79;28399.32;31648.48;36388.10;42073.33;48370.32;51813.17
89;8;27085.33;28679.00;32099.04;36789.81;42600.90;49162.85;53070.76
90;8;27205.63;29141.58;32604.83;37417.88;43068.76;50303.11;53998.85
91;8;27685.01;29134.34;32771.41;37919.48;43855.01;50819.07;55285.93
92;8;27617.49;29555.72;33344.48;38507.30;44469.68;51331.02;56182.30
93;8;28074.99;30041.74;33622.29;38835.74;44996.15;52192.50;56860.67
94;8;28073.68;30451.13;34210.59;39339.02;45557.20;52625.03;58087.93
95;8;28620.51;30725.60;34460.26;39779.92;46308.42;53807.16;58839.78
96;8;28894.76;31089.61;34931.30;40454.90;46929.45;54574.93;59614.34
97;9;29416.85;31251.87;35503.52;40949.35;47778.79;55848.31;60704.42
98;9;29675.92;31723.59;35993.71;41728.45;48703.56;56179.56;61270.56
99;9;29812.94;31806.36;36276.91;41959.90;49302.56;57739.96;63238.57
100;9;30200.27;32313.67;36753.09;42452.25;49778.02;58254.46;63925.48
101;9;30241.77;32917.98;37040.10;42911.14;50399.56;59268.56;64712.69
102;9;30496.47;33515.16;37583.50;43392.01;51703.11;59813.44;65996.99
103;9;30934.64;33691.26;38136.21;43992.26;51840.48;60876.28;65851.74
104;9;30961.11;34008.98;38486.60;44499.31;52469.65;61816.37;68460.73
105;9;31402.45;33953.14;39211.49;45341.96;53340.47;62153.60;69351.82
106;9;31742.51;34744.90;39122.93;45637.20;54079.78;64526.67;68791.88
107;9;32526.58;34579.40;39631.30;46249.10;54860.81;64704.76;69776.66
108;9;32525.35;35121.87;40425.48;46796.09;55912.20;64840.50;71322.76
109;10;32954.10;35616.27;40838.10;47562.08;56624.05;66117.67;73291.73
110;10;33459.18;36004.85;41136.96;48211.84;57339.92;67579.75;74759.22
111;10;34117.93;36689.74;41632.92;48712.58;58316.39;68264.86;75563.49
112;10;34355.13;37200.83;42280.96;49250.98;59204.78;69611.57;76447.24
113;10;34834.97;37188.33;42921.55;49997.26;60092.11;70668.31;77212.77
114;10;34689.26;37861.95;43037.53;50239.95;60423.38;71891.90;78669.27
115;10;35071.97;38169.57;43551.06;50867.38;61555.24;72302.79;78887.32
116;10;35176.00;38551.33;43822.04;51673.57;63044.36;73497.96;81193.91
117;10;35892.72;38804.29;44888.95;52032.81;62523.82;74511.33;82395.80
118;10;36158.30;39430.72;44890.63;52727.95;63330.22;75917.76;83859.16
119;10;36406.97;39629.59;45242.39;53672.43;64307.93;77239.36;84745.30
120;10;18760.13;22389.83;27996.08;35972.60;47232.96;59155.71;66421.61
121;11;18741.87;22351.99;28449.53;36427.75;47753.40;59461.77;67367.06
122;11;19137.09;22589.86;28586.24;36726.40;48045.56;59936.13;67804.53
123;11;19442.63;23087.74;29056.14;37260.65;48751.76;60685.28;69888.90
124;11;19688.55;23472.40;29469.01;38120.89;49035.00;61829.83;69502.00
125;11;20217.38;23819.23;30019.16;38512.95;49872.41;62680.71;70059.36
126;11;20624.92;23741.42;30295.90;38759.10;50093.80;63125.71;71248.07
127;11;21132.09;24521.38;30933.53;39085.18;50992.22;63907.04;71666.39
128;11;21276.30;24583.32;31287.18;39816.81;51873.75;65079.15;74065.98
129;11;21645.13;25122.72;31978.48;40418.30;52398.69;65300.80;73251.09
130;11;22162.48;25749.35;32109.16;40703.81;53001.40;65352.34;74720.03
131;11;22384.62;26198.29;32823.03;41221.43;53509.09;66114.53;75483.56
132;11;22894.56;26798.23;33230.84;41956.07;53978.14;67348.60;76776.74
133;12;23147.10;26896.48;34016.35;42489.13;55113.44;68309.56;77943.66
134;12;23765.57;27341.91;34359.42;43412.19;55528.18;68898.41;78277.04
135;12;24485.15;28013.74;34718.38;43752.65;56358.32;70260.58;79720.53
136;12;24678.03;28301.11;35126.66;44284.52;57468.23;71085.83;79979.72
137;12;25126.73;28437.85;35950.16;44889.78;58052.27;71456.58;81375.74
138;12;25494.31;28831.43;36229.84;45630.56;58314.46;72662.88;82141.24
139;12;25928.20;29513.81;36370.20;46316.54;59377.60;73146.53;84162.66
140;12;26136.49;29810.54;36689.91;46713.89;60655.27;75067.00;85735.55
141;12;27032.07;30543.63;37371.58;47357.68;61035.34;75024.76;86380.00
142;12;27323.66;30935.01;37926.62;48119.20;61412.75;76639.46;88633.83
143;12;27773.96;31226.03;38510.77;48906.24;62564.08;77724.04;88183.35
144;12;28335.64;31726.65;38905.26;48978.94;63069.56;79449.32;89304.25
145;13;28938.64;32419.14;39738.59;50190.05;64046.27;80943.67;90947.35
146;13;29139.43;33122.06;40135.61;50347.71;65435.65;82060.27;91246.69
147;13;29277.58;33161.01;40371.16;51109.65;66619.73;82053.05;92718.98
148;13;29554.57;33882.47;41040.02;51730.21;67099.07;83037.00;94288.56
149;13;29810.98;34093.31;41383.97;52452.94;67671.80;84673.10;95222.09
150;13;30402.73;34411.01;41864.73;53011.09;68681.32;85000.96;98025.75
151;13;31254.67;34575.29;42822.17;53534.78;69633.94;85507.19;98287.45
152;13;31167.68;35394.72;43290.39;54406.51;70558.75;86455.10;98829.85
153;13;31496.05;35826.07;43897.98;55293.65;70428.80;88140.40;99919.75
154;13;31865.28;35857.74;44125.02;55834.65;71025.26;88599.66;101262.34
155;13;32520.56;36726.81;44660.77;56219.26;72153.20;90814.33;103789.93
156;13;32713.26;36800.64;45544.19;56778.50;72673.30;91434.47;102888.85
157;14;32660.50;37557.30;46365.90;57227.34;73701.06;91815.42;104824.03
158;14;32940.50;37744.00;47046.09;57759.96;74012.34;93533.46;107054.59
159;14;33763.64;38014.09;47384.60;58432.85;75399.23;93996.17;108279.16
160;14;34062.09;38259.75;48146.96;58829.80;76337.56;95713.38;109318.74
161;14;34482.79;38952.37;48653.15;59464.39;77138.93;97835.06;110275.88
162;14;34798.89;39656.55;49115.82;60037.32;78276.48;99371.23;112484.97
163;14;35538.73;40271.79;49754.49;60638.76;79684.19;100370.76;115202.70
164;14;35674.43;40441.10;49789.08;61279.34;80674.26;101084.94;117231.96
165;14;35968.72;40675.22;50377.82;62113.50;80682.48;101574.90;118812.01
166;14;36085.05;40710.15;51182.25;62903.91;81516.29;103743.89;118244.26
167;14;36538.85;41771.87;51116.61;64026.76;81677.19;104936.05;120005.66
168;14;36908.69;42005.19;51749.61;65521.58;83270.59;104979.85;122395.89
169;15;37530.05;42097.53;52466.38;65524.83;84363.69;106357.14;123876.29
170;15;37957.62;42277.72;52832.83;66927.23;84584.87;107701.84;122993.55
171;15;38034.35;43350.91;53485.93;67470.85;85931.73;107104.75;124731.66
172;15;38653.33;43933.72;53667.06;68660.28;87234.16;108850.33;126502.86
173;15;38628.87;44701.63;54433.89;69054.91;87297.35;112693.33;127508.85
174;15;38899.31;44578.85;55050.70;69663.85;87984.64;113289.05;125093.19
175;15;39794.87;44835.71;55383.69;70696.12;88607.72;114341.18;127350.51
176;15;40205.61;45647.39;56322.04;71127.08;89655.04;115001.29;127929.55
177;15;40385.43;45669.86;56472.46;71917.77;91177.08;116649.94;131293.35
178;15;41071.07;45718.02;57676.38;72431.54;91698.16;119396.70;132256.10
179;15;41380.14;46404.20;58078.21;73892.77;93498.99;120636.66;134026.84
180;15;41591.21;46787.67;58999.74;74221.96;93733.03;120526.18;132894.69
181;16;42125.43;47009.50;59420.69;75511.82;94723.69;122960.09;137222.87
182;16;42901.98;47169.19;59958.84;76606.75;95892.64;123753.51;140206.31
183;16;43227.50;48410.94;60221.10;77363.34;98063.60;125036.20;141137.69
184;16;42930.19;49475.89;60567.93;78296.92;98191.62;125791.89;142188.63
185;16;43563.22;50371.14;61446.10;79525.59;99443.71;128730.62;142690.25
186;16;44720.00;50702.41;62333.99;80413.54;101407.04;128595.21;143491.49
187;16;45269.14;51082.17;62632.24;81018.17;102526.13;130521.30;147165.25
188;16;45884.76;51792.38;63674.98;82955.89;104796.11;131989.72;150020.89
189;16;45853.51;52369.14;64607.24;83389.69;105619.75;133875.71;150588.72
190;16;47246.26;52996.34;65300.25;84006.36;106481.35;134969.48;150736.62
191;16;47295.68;53051.75;65719.18;84887.16;107384.43;136407.76;154451.95
192;16;48354.40;53837.09;66101.11;85091.15;108766.61;136787.93;156841.75
193;17;49038.46;53968.84;67524.35;86486.31;109799.67;138246.29;157896.10
194;17;49166.53;55109.43;68386.35;87264.30;111318.25;138918.81;161449.01
195;17;50187.32;55492.01;68674.75;88108.83;113184.30;139277.22;161581.77
196;17;50295.11;56311.03;68712.96;89365.08;113868.71;141276.39;162324.35
197;17;51130.74;56314.29;69518.72;88875.42;114561.70;145278.84;162929.84
198;17;51552.50;56744.67;70275.73;89386.35;115458.63;145307.73;164253.04
199;17;51513.61;57228.92;71322.32;90973.60;116832.27;147698.08;168468.88
200;17;52520.25;58126.07;72352.30;91525.01;118267.88;150036.76;170551.59
201;17;53155.80;58339.64;72487.60;92560.07;119688.01;152846.24;171861.73
202;17;53026.00;59956.12;73789.30;93539.24;120362.48;153692.02;175705.94
203;17;52939.39;59974.99;74292.80;94727.31;121237.78;153217.74;179220.45
204;17;53556.29;60535.58;74720.01;94944.07;122589.42;156810.86;181660.42
205;18;53283.46;61558.32;75368.86;96313.78;123983.46;157474.23;182458.93
206;18;54492.09;61624.37;75894.15;97951.30;125061.48;158259.98;187982.60
207;18;54388.00;61773.53;75706.57;99911.76;126898.86;161404.02;186360.30
208;18;55680.19;62670.68;77157.22;100615.46;128033.51;161507.31;188580.75
209;18;56233.74;63264.29;77845.98;101351.98;128503.06;165189.45;188819.89
210;18;56781.48;64041.52;78956.18;100971.73;129921.75;168282.55;193352.15
211;18;57117.97;64106.85;79436.53;102355.68;130903.24;168232.77;197399.00
212;18;58112.73;64537.07;79961.66;103219.47;131632.99;170525.91;198438.15
213;18;58780.46;65580.70;80154.12;104108.88;134369.56;173540.38;199234.07
214;18;59382.40;66381.24;81074.63;104648.41;135543.70;176869.78;206885.03
215;18;59283.95;66791.82;82305.27;105793.24;137005.24;177609.70;207011.08
216;18;59323.23;67209.38;83641.92;106364.44;138611.54;177922.32;209788.17
217;19;60702.84;67012.75;84389.57;108647.52;139790.49;180316.46;211492.57
218;19;60454.28;68331.96;85007.78;109387.26;142269.73;183264.80;214994.10
219;19;60340.28;68637.50;86016.10;110006.36;143940.69;184920.81;220700.99
220;19;61504.86;68751.08;87136.61;111453.18;145776.94;185476.40;219848.84
221;19;62171.38;69185.86;88298.88;112430.65;145519.13;187046.18;221548.10
222;19;61998.98;71033.28;87792.98;113522.25;147075.62;189180.22;224501.59
223;19;63263.30;71716.14;88411.31;113964.56;147916.53;193910.13;231449.46
224;19;63140.48;72449.17;89864.31;115651.44;150331.00;197605.33;231018.75
225;19;64448.47;72249.72;90158.88;116061.13;152324.99;194819.86;234196.59
226;19;65244.38;73503.15;91900.87;117009.58;153056.78;198765.40;233448.11
227;19;66118.89;74019.34;92061.45;118112.22;154856.08;202689.14;239882.10
228;19;65832.39;75411.13;92759.80;118956.06;156880.44;203450.88;241822.54
229;20;66497.14;75753.05;93903.15;119188.03;160204.93;208465.25;240366.35
230;20;67742.55;76333.73;94392.62;121325.90;159898.27;205634.13;243167.41
231;20;68182.99;76924.92;94905.57;122354.71;161926.08;211900.61;248639.48
232;20;66739.36;76922.18;94971.15;123523.72;161727.64;212296.20;250621.32
233;20;68702.24;78223.15;96048.72;124744.75;164243.25;216128.11;253239.00
234;20;69103.75;77723.97;96790.87;125238.63;166329.31;215964.12;255330.76
235;20;70045.70;79070.77;98426.33;126566.34;167728.57;218914.38;255546.78
236;20;70127.84;79725.99;99338.31;129027.32;168953.08;219603.67;259723.57
237;20;69550.10;80470.59;100363.46;130483.35;170201.46;226015.49;266102.94
238;20;71901.21;81005.64;100479.21;132981.87;170491.31;225329.74;269677.93
239;20;71113.11;81882.16;101437.27;133803.90;173604.79;227640.73;273282.55
240;20;49593.73;60666.08;80901.14;112572.82;152688.93;207652.05;251599.85
241;21;50073.76;60097.77;81367.84;113197.31;154020.89;209108.16;247047.47
242;21;51216.18;61731.01;82522.74;113942.26;155202.19;211613.42;246284.76
243;21;52243.71;61407.24;81942.25;115180.89;156016.58;211576.30;256748.35
244;21;52953.83;62816.68;82952.38;115573.31;158011.17;213604.22;255274.25
245;21;53254.04;62608.41;85131.72;115993.37;159785.44;215812.37;259224.67
246;21;54894.26;63545.47;85526.31;117335.23;160883.13;216368.37;255145.83
247;21;55075.69;64209.43;86632.98;119480.04;163229.34;218460.42;259377.63
248;21;55949.48;65273.36;88424.43;120672.53;162475.27;221137.79;259323.89
249;21;55853.48;66131.62;89437.13;121297.58;164194.88;220915.84;259058.76
250;21;57562.51;66398.89;90018.47;121967.75;165851.92;222276.18;265663.47
251;21;57843.73;67588.47;91253.85;122999.53;168679.68;225672.16;263789.15
252;21;58989.19;69189.74;91841.67;124417.62;168842.06;228029.55;264945.06
253;22;59941.25;69496.66;93004.87;124698.80;171582.06;231630.05;269202.30
254;22;60485.46;70053.79;93464.69;126776.29;174284.51;233648.03;272154.54
255;22;60797.79;71381.50;93134.93;127701.00;177315.48;236862.73;271080.92
256;22;61099.34;70774.21;93926.23;129063.06;178640.73;239472.89;274645.50
257;22;63189.03;71708.32;94486.76;131711.57;178785.80;238643.15;275034.40
258;22;62538.01;72370.08;95789.98;132734.93;182787.12;241204.46;279059.22
259;22;63570.42;73227.09;95865.48;134187.70;183320.58;240489.22;279978.23
260;22;64166.36;74621.30;97131.06;135185.40;185508.05;239904.58;289307.86
261;22;64794.44;74085.28;99088.32;136782.65;186515.36;243657.07;292205.12
262;22;65181.48;75470.44;99776.84;137156.01;187706.80;245737.89;297949.95
263;22;66768.36;76173.06;99982.72;138256.50;187656.68;248639.70;299044.99
264;22;67483.24;77773.60;100492.49;139656.20;188999.16;253525.99;303124.84
265;23;68143.83;78321.01;101425.44;141494.89;191669.33;255881.65;306724.54
266;23;69281.90;78539.79;102497.16;142896.61;191456.79;258080.00;308399.21
267;23;70082.09;79801.64;104532.16;144253.61;193333.11;260702.35;313853.77
268;23;69714.02;80306.61;104778.44;144721.33;193348.99;261837.12;315545.77
269;23;71082.74;80611.28;106379.15;146164.57;193888.49;263977.58;316784.48
270;23;71527.17;80741.08;107489.64;146937.93;197249.72;269737.46;323672.63
271;23;72650.44;81724.74;107510.21;147052.96;198146.56;275107.77;319568.83
272;23;72591.32;83198.04;108075.93;147537.98;201902.07;272047.38;327611.03
273;23;73435.53;83817.89;109459.66;150107.48;203276.47;279085.84;335033.32
274;23;74080.63;84587.85;111178.20;151227.59;205061.74;285491.98;333375.32
275;23;74158.39;84312.21;112041.92;151896.14;206789.57;283296.99;333338.47
276;23;74400.91;86182.19;113010.94;152840.61;209009.17;283364.52;340489.21
277;24;73682.95;87160.84;114063.01;154015.07;210898.48;286889.67;341482.57
278;24;74729.13;87447.72;115299.68;155684.43;214170.05;288704.49;351268.83
279;24;77123.44;88147.68;116413.81;157471.27;217302.01;291725.68;353325.77
280;24;77133.55;90668.15;117613.96;159366.00;220236.66;288881.38;352667.76
281;24;78921.43;90639.16;117411.59;159540.75;220015.22;296135.41;355644.29
282;24;79314.04;91606.78;119280.52;160314.95;221978.06;296716.25;357812.78
283;24;79855.17;91776.43;118933.98;162112.11;223209.70;301105.05;360412.08
284;24;82201.04;91149.28;119759.92;163386.65;227169.89;303943.35;367159.98
285;24;80728.94;93237.88;121488.13;164323.84;227369.73;310387.64;373950.66
286;24;79583.22;93032.52;123256.02;165945.86;231333.27;310045.67;370573.48
287;24;80176.41;94243.49;123894.24;168471.35;231520.60;319034.34;378297.01
288;24;81782.17;94983.93;123935.83;169745.63;233893.93;320493.84;383032.87
289;25;82544.68;96501.26;125402.63;169334.28;237632.19;318627.24;383547.25
290;25;81983.70;96785.36;125059.39;173205.65;237870.01;323215.16;396040.73
291;25;83619.91;97821.94;126041.25;173754.55;241733.47;326507.74;382510.15
292;25;84763.62;98117.03;127553.21;174754.14;249158.14;329979.82;395995.01
293;25;86342.60;99244.77;128713.85;177817.44;251707.99;330671.90;398735.47
294;25;87812.77;100119.88;130629.11;179113.78;253176.04;333019.92;400717.29
295;25;88890.15;101149.00;133337.15;179387.08;253559.25;330742.74;397970.98
296;25;90146.76;101526.68;134392.86;182738.13;256950.51;331659.98;406846.10
297;25;90052.36;104025.78;134459.26;183413.94;257904.93;338270.28;410064.72
298;25;90925.40;105089.55;136191.95;185272.83;261740.53;345298.07;418237.87
299;25;90093.39;105643.79;136427.67;186973.42;262690.19;344922.30;420214.42
300;25;91207.44;106003.16;137038.72;187955.80;264141.64;349336.83;429874.91
301;26;91995.56;106988.83;138571.15;189308.67;263995.36;351831.85;436767.93
302;26;91583.69;108502.48;138812.76;190267.56;265821.05;356940.48;446145.53
303;26;92927.58;106012.59;139871.40;191317.51;268384.54;357593.86;445134.89
304;26;92803.33;107017.24;142206.77;192495.62;273895.70;365807.56;453876.86
305;26;92371.57;108117.26;144279.88;195273.94;276538.49;375403.31;458226.76
306;26;93085.43;108900.38;145455.46;196375.55;280595.59;374393.85;468880.49
307;26;94757.61;109120.91;145469.40;198892.23;282937.78;377375.17;471848.84
308;26;94827.80;111416.27;146789.40;200210.93;287125.14;380427.12;485710.95
309;26;95427.67;111859.47;147892.59;201550.49;287924.50;386035.13;467692.51
310;26;96769.43;112529.07;148510.84;205392.86;286983.33;393921.07;474718.35
311;26;96786.80;113663.17;149819.41;203839.27;287387.54;396001.27;477398.09
312;26;95538.34;112546.13;152283.34;204401.14;286250.55;396044.33;478638.02
313;27;95917.99;113899.61;153968.55;207528.63;287712.60;405404.22;484525.63
314;27;97557.69;115763.49;153646.45;210036.68;291916.69;409470.84;485522.93
315;27;97230.67;114633.67;154115.11;209949.99;292588.77;410643.38;496500.91
316;27;98907.18;116564.63;156592.88;212006.14;299000.98;418714.43;504303.96
317;27;98737.67;117802.70;158712.51;215947.53;299942.26;416498.41;503462.07
318;27;100606.63;117815.38;158698.39;214229.29;303507.63;415632.34;518375.44
319;27;103170.37;119071.91;160837.84;218152.78;303546.59;426664.22;515020.91
320;27;104949.95;121215.92;161874.89;219686.23;306811.30;429973.45;534284.44
321;27;105043.34;119735.54;163584.08;223245.62;312795.45;433636.10;535732.53
322;27;105233.15;121188.30;163435.00;223028.29;313924.32;438335.76;541394.33
323;27;104140.37;121071.65;162894.16;223907.43;314529.13;434869.38;542071.71
324;27;103808.37;121741.25;164670.69;226887.66;316069.09;443668.41;542900.12
325;28;106816.57;121375.84;165859.80;228326.07;320347.72;441317.96;540550.95
326;28;108324.21;122539.09;168512.50;230521.97;324068.97;444721.17;544150.21
327;28;109506.81;124889.56;169026.20;230989.82;329733.29;447675.07;545192.31
328;28;109320.88;125756.87;172027.35;234596.95;334431.78;456353.52;557129.96
329;28;111631.21;127883.12;173720.54;237392.97;335369.57;456850.21;563545.51
330;28;113503.21;128486.52;174281.50;235606.14;332122.70;460804.74;566374.26
331;28;114355.71;129352.17;175569.08;241054.11;333268.69;466067.14;572996.67
332;28;114751.61;131763.44;176083.70;239985.25;339950.58;474303.40;582201.18
333;28;116559.73;132316.33;179107.96;242253.81;344241.61;480429.63;581558.87
334;28;116561.60;132956.82;178161.03;243223.49;346428.94;484732.07;577482.63
